shadow_id,sample_type,opened_at,symbol,side,entry_raw,reason,missing,direction_source,trend,trend_quality,direction_1h,direction_15m,support,resistance,level_dist_atr,atr,radar_score,decision_timeframe,context_json,result_5m,exit_5m_raw,delta_5m_pct,observed_5m_at,result_10m,exit_10m_raw,delta_10m_pct,observed_10m_at,result_15m,exit_15m_raw,delta_15m_pct,observed_15m_at,result_20m,exit_20m_raw,delta_20m_pct,observed_20m_at,result_30m,exit_30m_raw,delta_30m_pct,observed_30m_at,result_45m,exit_45m_raw,delta_45m_pct,observed_45m_at,result_60m,exit_60m_raw,delta_60m_pct,observed_60m_at
4of5|ALEO/USDT|2026-08-30 19:45:00+00:00,4of5_shadow,2026-08-30 20:00:00+00:00,ALEO/USDT,long,0.01739,4of5_shadow,trigger,,,,,,,,,,,15m,"{""sample_type"":""4of5_shadow"",""missing"":[""trigger""],""decision_timeframe"":""15m"",""source"":""reconstructed_from_conversation_logs"",""reconstruction_note"":""Campos não presentes no log original foram deixados vazios; observed_at não foi inventado.""}",TIE,0.01739,0.0,,TIE,0.01739,0.0,,TIE,0.01739,0.0,,TIE,0.01739,0.0,,TIE,0.01739,0.0,,LOSS,0.01728,-0.6325,,LOSS,0.01728,-0.6325,
4of5|ALEO/USDT|2026-08-30 20:00:00+00:00,4of5_shadow,2026-08-30 20:15:00+00:00,ALEO/USDT,long,0.01739,4of5_shadow,trigger,,,,,,,,,,,15m,"{""sample_type"":""4of5_shadow"",""missing"":[""trigger""],""decision_timeframe"":""15m"",""source"":""reconstructed_from_conversation_logs"",""reconstruction_note"":""Campos não presentes no log original foram deixados vazios; observed_at não foi inventado.""}",TIE,0.01739,0.0,,TIE,0.01739,0.0,,TIE,0.01739,0.0,,LOSS,0.01728,-0.6325,,LOSS,0.01728,-0.6325,,LOSS,0.01728,-0.6325,,LOSS,0.01728,-0.6325,
4of5|RLUSD/USDT|2026-08-30 20:00:00+00:00,4of5_shadow,2026-08-30 20:15:00+00:00,RLUSD/USDT,short,1.00003,4of5_shadow,trigger,,,,,,,,,,,15m,"{""sample_type"":""4of5_shadow"",""missing"":[""trigger""],""decision_timeframe"":""15m"",""source"":""reconstructed_from_conversation_logs"",""reconstruction_note"":""Campos não presentes no log original foram deixados vazios; observed_at não foi inventado.""}",TIE,1.00003,0.0,,TIE,1.00003,0.0,,TIE,1.00003,0.0,,TIE,1.00003,0.0,,TIE,1.00003,0.0,,TIE,1.00003,0.0,,LOSS,1.00011,-0.008,
4of5|USDPT/USDT|2026-08-30 20:00:00+00:00,4of5_shadow,2026-08-30 20:15:00+00:00,USDPT/USDT,,0.9996,4of5_shadow,trigger,,,,,,,,,,,15m,"{""sample_type"":""4of5_shadow"",""missing"":[""trigger""],""decision_timeframe"":""15m"",""source"":""reconstructed_from_conversation_logs"",""reconstruction_note"":""Campos não presentes no log original foram deixados vazios; observed_at não foi inventado.""}",TIE,0.9996,0.0,,TIE,0.9996,0.0,,TIE,0.9996,0.0,,TIE,0.9996,0.0,,TIE,0.9996,0.0,,TIE,0.9996,0.0,,TIE,0.9996,0.0,
4of5|ALEO/USDT|2026-08-30 20:15:00+00:00,4of5_shadow,2026-08-30 20:30:00+00:00,ALEO/USDT,long,0.01739,4of5_shadow,trigger,,,,,,,,,,,15m,"{""sample_type"":""4of5_shadow"",""missing"":[""trigger""],""decision_timeframe"":""15m"",""source"":""reconstructed_from_conversation_logs"",""reconstruction_note"":""Campos não presentes no log original foram deixados vazios; observed_at não foi inventado.""}",LOSS,0.01728,-0.6325,,LOSS,0.01728,-0.6325,,LOSS,0.01728,-0.6325,,LOSS,0.01728,-0.6325,,LOSS,0.01728,-0.6325,,LOSS,0.01728,-0.6325,,LOSS,0.01728,-0.6325,
4of5|BONK/USD|2026-08-30 20:15:00+00:00,4of5_shadow,2026-08-30 20:30:00+00:00,BONK/USD,,,4of5_shadow,trigger,,,,,,,,,,,15m,"{""sample_type"":""4of5_shadow"",""missing"":[""trigger""],""decision_timeframe"":""15m"",""source"":""reconstructed_from_conversation_logs"",""reconstruction_note"":""Campos não presentes no log original foram deixados vazios; observed_at não foi inventado.""}",,,,,,,,,,,,,,,,,,,,,,,,,,,,
4of5|FLOW/USD|2026-08-30 20:15:00+00:00,4of5_shadow,2026-08-30 20:30:00+00:00,FLOW/USD,short,0.0282,4of5_shadow,trigger,,,,,,,,,,,15m,"{""sample_type"":""4of5_shadow"",""missing"":[""trigger""],""decision_timeframe"":""15m"",""source"":""reconstructed_from_conversation_logs"",""reconstruction_note"":""Campos não presentes no log original foram deixados vazios; observed_at não foi inventado.""}",WIN,0.0281,0.3546,,WIN,0.0279,1.0638,,WIN,0.0279,1.0638,,WIN,0.0279,1.0638,,WIN,0.0278,1.4184,,WIN,0.0276,2.1277,,WIN,0.0277,1.773,
4of5|GALA/USD|2026-08-30 20:15:00+00:00,4of5_shadow,2026-08-30 20:30:00+00:00,GALA/USD,short,0.00175,4of5_shadow,trigger,,,,,,,,,,,15m,"{""sample_type"":""4of5_shadow"",""missing"":[""trigger""],""decision_timeframe"":""15m"",""source"":""reconstructed_from_conversation_logs"",""reconstruction_note"":""Campos não presentes no log original foram deixados vazios; observed_at não foi inventado.""}",TIE,0.00175,0.0,,LOSS,0.00176,-0.5714,,WIN,0.00174,0.5714,,TIE,0.00175,0.0,,WIN,0.00174,0.5714,,WIN,0.00174,0.5714,,TIE,0.00175,0.0,
4of5|RLUSD/USDT|2026-08-30 20:15:00+00:00,4of5_shadow,2026-08-30 20:30:00+00:00,RLUSD/USDT,short,1.00003,4of5_shadow,trigger,,,,,,,,,,,15m,"{""sample_type"":""4of5_shadow"",""missing"":[""trigger""],""decision_timeframe"":""15m"",""source"":""reconstructed_from_conversation_logs"",""reconstruction_note"":""Campos não presentes no log original foram deixados vazios; observed_at não foi inventado.""}",TIE,1.00003,0.0,,TIE,1.00003,0.0,,TIE,1.00003,0.0,,TIE,1.00003,0.0,,TIE,1.00003,0.0,,LOSS,1.00011,-0.008,,LOSS,1.00011,-0.008,
4of5|USDPT/USDT|2026-08-30 20:15:00+00:00,4of5_shadow,2026-08-30 20:30:00+00:00,USDPT/USDT,,0.9996,4of5_shadow,trigger,,,,,,,,,,,15m,"{""sample_type"":""4of5_shadow"",""missing"":[""trigger""],""decision_timeframe"":""15m"",""source"":""reconstructed_from_conversation_logs"",""reconstruction_note"":""Campos não presentes no log original foram deixados vazios; observed_at não foi inventado.""}",TIE,0.9996,0.0,,TIE,0.9996,0.0,,TIE,0.9996,0.0,,TIE,0.9996,0.0,,TIE,0.9996,0.0,,TIE,0.9996,0.0,,TIE,0.9996,0.0,
